filing_id,company_id,filing_date,promoter_holding_pct,promoter_shares_pledged_pct,institutional_holding_pct,public_holding_pct,source_document_id
5c578c28-a79b-4dcf-8ccb-ec59dded5d60,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
44bf74b1-40b6-42ab-b4b8-3628417d0e59,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
8a5203e9-99bb-4c1e-997f-d7b696a96fef,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
247b3cea-4fcd-49cf-9e18-9c5c488f2681,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
0ba38493-8726-416a-991b-3a11fc563f41,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
52843a7c-e8dc-4eee-8d11-0e970480c45e,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
0e1bf18f-3d30-404d-b4f1-5bd095c548ad,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
b994a312-210c-495d-9c6c-a8ec5837915c,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
1f0ac496-8235-41cb-b87e-093b0e561935,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
ac8732d7-6ff8-44f0-b2dd-a3747c64693c,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
8b9ed1eb-6ae6-43bf-ba40-0f7b1120afb7,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
a5694922-aa18-4290-9973-c9749074da49,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
6f33a018-96ef-4c38-918e-a99ca31e2455,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
2def4154-ebf2-4dac-bc32-a350bd48aaa2,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
5ac6f0d2-6a37-41b0-9d0d-41f037243691,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
1ba2ae4e-c4ff-4321-95db-903342a99330,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
a0729b34-1188-4b94-8db5-428e9386f6bc,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
74b3e010-66cf-43b1-9c6a-c8b27cf28012,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
e1722883-7452-4431-ab20-1e287e52dedc,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
11e68eca-8c08-4111-bad5-27325b17034f,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
56299909-b829-4ba3-bcd4-8580d5bc6254,20MICRONS,31-DEC-202,0.0,0.0,0.0,0.0,
83db2169-b446-4544-9373-22e6bd95c6ec,20MICRONS,30-SEP-202,0.0,0.0,0.0,0.0,
d2343f38-f8f0-4ee8-8fd0-49ca33e8baf0,20MICRONS,30-JUN-202,0.0,0.0,0.0,0.0,
39de2eb2-7b34-4cb3-84d6-c95d25a3f036,20MICRONS,31-MAR-202,0.0,0.0,0.0,0.0,
c5c4c955-aaa9-4810-bf3b-30cbe11cfee1,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
823aae56-330f-48c3-9765-9a54fa64f6ed,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
2e0cdec0-6b66-4f80-9081-274fa0aa3634,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
27485911-de1d-472a-a3f4-da6acc77e6a1,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
e49b510b-560e-480b-9b85-c2d5d84341dd,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
899ca13d-e1e3-4659-ba10-f7c8f8d81d23,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
700a1bec-2203-4a67-9f3a-8f489dfb0ec7,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
1df1fd74-1c6b-4876-b647-0e23aa9b2fd0,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
27e1bd8c-5216-49b7-904a-5c09967dfb34,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
945c8f8a-588f-4712-95b9-9ba89fe7bb96,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
44da5dbe-a6b9-4c22-8b4d-69ac0af2c893,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
5defe586-88a2-4327-98f9-6aa7f8e0297d,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
7adfce7b-671a-49e5-b80b-c1a743b18eac,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
5e27a98d-730b-46ab-8b14-e191be25f4fb,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
48c2f205-2cd3-4cba-be95-534de762db5b,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
c95ca2b9-ea75-4152-bcdc-61685e100241,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
ddb6aec3-8068-4cdc-942f-313637e68bf9,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
f2d7ed18-d7be-44d8-b4a6-5229d7ebf57d,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
8f849483-98cd-4201-97a6-5352e68f7a06,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
0206f410-5564-486e-a4f2-7173c98c8bd6,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
d5c1bebd-9df5-40ea-b89c-2420b73ab523,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
5f3f7c42-5d3c-4980-a9cd-ba21d0888486,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
cdff6f6f-b140-45db-b9da-63307c27282c,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
35aff964-c12e-4f38-8293-61c645f131a6,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
4dcfaef5-0bb3-4871-bfc1-79d33c679da8,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
abf2cf76-e422-4289-ac45-0ed92d6ec0ec,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
b5c6c604-81ef-4909-994f-4e4f0e1cda39,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
e3bb248c-7ae6-4c32-a0e9-251dbad2ad8b,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
cb4c932d-650f-4573-8e06-f3ea6864fdb7,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
4195587c-d9a0-4458-aa69-146d70ea7fb3,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
fdf3cba0-ad7c-4591-a391-c2552fd10460,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
b4dd18e8-4a1f-4397-8887-24f972c46983,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
a53dc609-edcc-4ad2-83a8-7b0c7b293e93,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
d6431e90-548f-49a4-92b3-692d33934f22,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
82d94702-3e70-4dfd-af02-c318a25bca38,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
e68fe23b-d117-4afc-a546-b2188b6a3b8e,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
1174d42f-64fa-46cd-9f64-a138f7d021f0,20MICRONS,31-DEC-201,0.0,0.0,0.0,0.0,
2050203d-b994-443a-abca-dc00e07363b7,20MICRONS,30-SEP-201,0.0,0.0,0.0,0.0,
8e84e38f-eb20-4c9d-94b9-1e806a09c2da,20MICRONS,30-JUN-201,0.0,0.0,0.0,0.0,
e8f5f8d7-961a-4348-b7e9-98a36a3324e2,20MICRONS,31-MAR-201,0.0,0.0,0.0,0.0,
48dc7618-88da-42bf-a4aa-92180ece1f5f,20MICRONS,31-DEC-200,0.0,0.0,0.0,0.0,
33a4912a-90f8-4bef-ac26-e37a8b9b50db,20MICRONS,30-SEP-200,0.0,0.0,0.0,0.0,
8fefa685-14cb-469b-9d86-21d380e30768,20MICRONS,30-JUN-200,0.0,0.0,0.0,0.0,
41a00463-dea1-44d8-941c-8506b471e98e,20MICRONS,31-MAR-200,0.0,0.0,0.0,0.0,
1c782cd3-ad4b-49ec-b62a-e87964bcbf03,20MICRONS,31-DEC-200,0.0,0.0,0.0,0.0,
b1604553-557a-4f3e-8582-d117ce0e290f,20MICRONS,30-SEP-200,0.0,0.0,0.0,0.0,
39bdbc14-059f-4331-b5a4-ab876afda6ee,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
1478d566-189e-47a4-97f1-89cbec275b32,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
87c3f03d-1de5-47e3-bcd2-ebda13fdcb8a,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
61b63cd7-f6cd-4b9f-8a85-6ee363668973,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
5cc07840-c933-4575-954c-5f5e4850c210,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
a16eedf0-876f-4ecb-9140-3dcbb4d2b444,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
890ffe95-8a59-4369-91bb-ad6275578330,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
a5830309-526e-45a4-90e5-78e104e3139a,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
3434b8d6-ff9a-4007-b23a-81bb0b6a2ffe,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
5cad477e-48f7-4b65-b0af-fc5704fd01c3,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
b834bd8e-19d5-4469-873a-90a33ac671bc,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
286305da-c0b5-43c5-aaf9-b58a296fd2ae,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
8e453222-1062-4ca2-b779-3ff9e7cb32c4,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
617e60b4-7b42-4659-a69f-96de5374f418,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
dd530555-9d26-4c2b-ae50-27ff70565ced,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
f6e9e0dd-df20-485e-911a-8a3269df6680,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
1d307111-63b2-4053-b4f2-fdaf0f1e26a8,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
3940abb3-7a49-4bc0-9590-8ec7665ce4df,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
f831a707-8f61-44f6-9cb9-c9916462e679,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
566b57d4-7337-481d-82d3-54f8be0dd542,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
d638ce17-8456-40c2-bea5-9e04b8fbffc6,21STCENMGM,31-DEC-202,0.0,0.0,0.0,0.0,
b34d64bc-7c4d-479d-9313-39b0c3c14ef9,21STCENMGM,30-SEP-202,0.0,0.0,0.0,0.0,
6beeecef-1e04-41bb-95d2-e9897c1e9d34,21STCENMGM,30-JUN-202,0.0,0.0,0.0,0.0,
bb0eb017-ce45-417f-bd42-9c9dff8d59ea,21STCENMGM,31-MAR-202,0.0,0.0,0.0,0.0,
019213ee-1b88-4743-b859-3420d92b278b,21STCENMGM,31-DEC-201,0.0,0.0,0.0,0.0,
cfa23b62-97cc-488f-9631-7a5b346f7022,21STCENMGM,30-SEP-201,0.0,0.0,0.0,0.0,
f73f87dc-30f5-43d9-9f25-540212c6b9df,21STCENMGM,30-JUN-201,0.0,0.0,0.0,0.0,
17e1649b-2d3d-48d1-9bd4-9f1476aeaa3d,21STCENMGM,31-MAR-201,0.0,0.0,0.0,0.0,
7c9081e4-278b-41ef-8b32-4154e7afbb28,21STCENMGM,31-DEC-201,0.0,0.0,0.0,0.0,
16fa53c9-b24f-4def-b922-2312c2f04f0f,21STCENMGM,30-SEP-201,0.0,0.0,0.0,0.0,
65855882-f2d2-4221-bb48-eb3c331ad7bf,21STCENMGM,30-JUN-201,0.0,0.0,0.0,0.0,
