company_id,filing_date,promoter_pledged_pct,risk_flag,qoq_change_percentage_points,trend,analysis_timestamp
20MICRONS,30-JUN-200,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-JUN-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-200,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-200,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,30-SEP-202,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-200,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-200,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
20MICRONS,31-DEC-201,0.0,normal,0.0,stable,2026-03-09T16:51:28.206044
